"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.90510350481656077,0.0701448917388916,0.000514984130859375
"Perceptron",0.88943957300800591,0.058503150939941406,0.0007228851318359375
"PassiveAggressiveClassifier",0.93976880957209508,0.07805895805358887,0.0006079673767089844
"LinearSVC (L2 penalty)",0.94239772033380831,0.21963191032409668,0.0006811618804931641
"LinearSVC (L1 penalty)",0.93880870095547886,0.12067198753356934,0.0005459785461425781
"LinearSVC (L1 feature select)",0.93577981651376163,0.11550784111022949,0.0029180049896240234
"LogisticRegression (L2 penalty)",0.92310880829015529,0.11482095718383789,0.0005419254302978516
"LogisticRegression (L1 penalty)",0.92978505629477981,0.11713290214538574,0.0006530284881591797
"LogisticRegression (L1 feature select)",0.9355890746025276,0.10190701484680176,0.003192901611328125
"SGD (L2 penalty)",0.94738955823293181,0.07324910163879395,0.0007309913635253906
"SGD (L1 penalty)",0.92755392755392752,0.16538095474243164,0.0005369186401367188
"SGD w/ elastic-net penalty",0.94409687184661939,0.19648408889770508,0.0005321502685546875
"NearestCentroid",0.36635271191945434,0.017641067504882812,0.02084183692932129
"MultinomialNB",0.87759815242494221,0.01152801513671875,0.005224943161010742
"BernoulliNB",0.83784398453491027,0.012851953506469727,0.0052700042724609375
